AAPL
AMZN
BA
BAC
BHP
BRK-B
CHL
CMCSA
CVX
D
DCM
DIS
DOW
DUK
EXC
GE
GOOGL
HD
INTC
JNJ
JPM
KO
MA
MMM
MO
MRK
MSFT
NGG
NTT
NVS
ORCL
PEP
PFE
PG
PTR
RDS-B
RIO
SO
SPY
SYT
T
TM
TOT
UNH
UPS
VALE
VZ
WFC
WMT
XOM
